,country,city_ascii,iso3
0,Japan,Tokyo,JPN
1,United States,New York,USA
2,Mexico,Mexico City,MEX
3,India,Mumbai,IND
4,Brazil,Sao Paulo,BRA
5,India,Delhi,IND
6,China,Shanghai,CHN
7,India,Kolkata,IND
8,United States,Los Angeles,USA
9,Bangladesh,Dhaka,BGD
10,Argentina,Buenos Aires,ARG
11,Pakistan,Karachi,PAK
12,Egypt,Cairo,EGY
13,Brazil,Rio de Janeiro,BRA
14,Japan,Osaka,JPN
15,China,Beijing,CHN
16,Philippines,Manila,PHL
17,Russia,Moscow,RUS
18,Turkey,Istanbul,TUR
19,France,Paris,FRA
20,"Korea, South",Seoul,KOR
21,Nigeria,Lagos,NGA
22,Indonesia,Jakarta,IDN
23,China,Guangzhou,CHN
24,United States,Chicago,USA
25,United Kingdom,London,GBR
26,Peru,Lima,PER
27,Iran,Tehran,IRN
28,Congo (Kinshasa),Kinshasa,COD
29,Colombia,Bogota,COL
30,China,Shenzhen,CHN
31,China,Wuhan,CHN
32,Hong Kong,Hong Kong,HKG
33,China,Tianjin,CHN
34,India,Chennai,IND
35,Taiwan,Taipei,TWN
36,India,Bengaluru,IND
37,Thailand,Bangkok,THA
38,Pakistan,Lahore,PAK
39,China,Chongqing,CHN
40,United States,Miami,USA
41,India,Hyderabad,IND
42,United States,Dallas,USA
43,Chile,Santiago,CHL
44,United States,Philadelphia,USA
45,Brazil,Belo Horizonte,BRA
46,Spain,Madrid,ESP
47,United States,Houston,USA
48,India,Ahmadabad,IND
49,Vietnam,Ho Chi Minh City,VNM
50,United States,Washington,USA
51,United States,Atlanta,USA
52,Canada,Toronto,CAN
53,Singapore,Singapore,SGP
54,Angola,Luanda,AGO
55,Iraq,Baghdad,IRQ
56,Spain,Barcelona,ESP
57,India,Haora,IND
58,China,Shenyang,CHN
59,Sudan,Khartoum,SDN
60,India,Pune,IND
61,United States,Boston,USA
62,Australia,Sydney,AUS
63,Russia,Saint Petersburg,RUS
64,Bangladesh,Chittagong,BGD
65,China,Dongguan,CHN
66,Saudi Arabia,Riyadh,SAU
67,Vietnam,Hanoi,VNM
68,Mexico,Guadalajara,MEX
69,Australia,Melbourne,AUS
70,Egypt,Alexandria,EGY
71,China,Chengdu,CHN
72,Burma,Rangoon,MMR
73,United States,Phoenix,USA
74,China,Xi'an,CHN
75,Brazil,Porto Alegre,BRA
76,India,Surat,IND
77,China,Hechi,CHN
78,Côte D’Ivoire,Abidjan,CIV
79,Brazil,Brasilia,BRA
80,Turkey,Ankara,TUR
81,Mexico,Monterrey,MEX
82,Japan,Yokohama,JPN
83,China,Nanjing,CHN
84,Canada,Montreal,CAN
85,China,Guiyang,CHN
86,Brazil,Recife,BRA
87,United States,Seattle,USA
88,China,Harbin,CHN
89,United States,San Francisco,USA
90,Brazil,Fortaleza,BRA
91,China,Zhangzhou,CHN
92,United States,Detroit,USA
93,Brazil,Salvador,BRA
94,"Korea, South",Busan,KOR
95,South Africa,Johannesburg,ZAF
96,Germany,Berlin,DEU
97,Algeria,Algiers,DZA
98,Italy,Rome,ITA
99,"Korea, North",Pyongyang,PRK
100,Colombia,Medellin,COL
101,Afghanistan,Kabul,AFG
102,Greece,Athens,GRC
103,Japan,Nagoya,JPN
104,South Africa,Cape Town,ZAF
105,United States,San Diego,USA
106,China,Changchun,CHN
107,Morocco,Casablanca,MAR
108,China,Dalian,CHN
109,India,Cawnpore,IND
110,Nigeria,Kano,NGA
111,Israel,Tel Aviv-Yafo,ISR
112,Ethiopia,Addis Ababa,ETH
113,Brazil,Curitiba,BRA
114,China,Zibo,CHN
115,Saudi Arabia,Jeddah,SAU
116,Kenya,Nairobi,KEN
117,China,Hangzhou,CHN
118,South Africa,Benoni,ZAF
119,Venezuela,Caracas,VEN
120,Italy,Milan,ITA
121,Germany,Stuttgart,DEU
122,China,Kunming,CHN
123,Tanzania,Dar es Salaam,TZA
124,United States,Minneapolis,USA
125,India,Jaipur,IND
126,China,Taiyuan,CHN
127,Germany,Frankfurt,DEU
128,China,Qingdao,CHN
129,Indonesia,Surabaya,IDN
130,Portugal,Lisbon,PRT
131,United States,Tampa,USA
132,China,Jinan,CHN
133,Japan,Fukuoka,JPN
134,Brazil,Campinas,BRA
135,United States,Denver,USA
136,Taiwan,Kaohsiung,TWN
137,Philippines,Quezon City,PHL
138,Poland,Katowice,POL
139,Syria,Aleppo,SYR
140,South Africa,Durban,ZAF
141,Ukraine,Kyiv,UKR
142,India,Lucknow,IND
143,Egypt,Giza,EGY
144,China,Zhengzhou,CHN
145,Taiwan,Taichung,TWN
146,United States,Brooklyn,USA
147,Nigeria,Ibadan,NGA
148,Pakistan,Faisalabad,PAK
149,China,Fuzhou,CHN
150,China,Changsha,CHN
151,Senegal,Dakar,SEN
152,Turkey,Izmir,TUR
153,China,Xiangtan,CHN
154,China,Lanzhou,CHN
155,"Korea, South",Incheon,KOR
156,Japan,Sapporo,JPN
157,China,Xiamen,CHN
158,Ecuador,Guayaquil,ECU
159,Malaysia,George Town,MYS
160,Iran,Mashhad,IRN
161,Syria,Damascus,SYR
162,"Korea, South",Daegu,KOR
163,India,Nagpur,IND
164,China,Lianshan,CHN
165,China,Shijiazhuang,CHN
166,Tunisia,Tunis,TUN
167,Austria,Vienna,AUT
168,China,Jilin,CHN
169,Sudan,Omdurman,SDN
170,Indonesia,Bandung,IDN
171,Indonesia,Bekasi,IDN
172,Germany,Mannheim,DEU
173,China,Nanchang,CHN
174,China,Wenzhou,CHN
175,United States,Queens,USA
176,Canada,Vancouver,CAN
177,United Kingdom,Birmingham,GBR
178,Colombia,Cali,COL
179,Italy,Naples,ITA
180,Japan,Sendai,JPN
181,United Kingdom,Manchester,GBR
182,Mexico,Puebla,MEX
183,Libya,Tripoli,LBY
184,Uzbekistan,Tashkent,UZB
185,Cuba,Havana,CUB
186,China,Gaoping,CHN
187,United States,Baltimore,USA
188,China,Nanning,CHN
189,Brazil,Belem,BRA
190,India,Patna,IND
191,Dominican Republic,Santo Domingo,DOM
192,China,Urumqi,CHN
193,China,Zaozhuang,CHN
194,Azerbaijan,Baku,AZE
195,Ghana,Accra,GHA
196,China,Yantai,CHN
197,Indonesia,Medan,IDN
198,Bolivia,Santa Cruz,BOL
199,China,Tongshan,CHN
200,United States,Riverside,USA
201,China,Linyi,CHN
202,United States,St. Louis,USA
203,United States,Las Vegas,USA
204,Venezuela,Maracaibo,VEN
205,Kuwait,Kuwait City,KWT
206,Saudi Arabia,Ad Dammam,SAU
207,United States,Portland,USA
208,China,Haikou,CHN
209,Japan,Hiroshima,JPN
210,China,Baotou,CHN
211,China,Hefei,CHN
212,India,Indore,IND
213,Brazil,Goiania,BRA
214,Yemen,Sanaa,YEM
215,United States,San Antonio,USA
216,Haiti,Port-au-Prince,HTI
217,Vietnam,Haiphong,VNM
218,China,Suzhou,CHN
219,China,Nanyang,CHN
220,Romania,Bucharest,ROU
221,China,Ningbo,CHN
222,Cameroon,Douala,CMR
223,China,Tangshan,CHN
224,Taiwan,Tainan,TWN
225,China,Xiping,CHN
226,Paraguay,Asuncion,PRY
227,Pakistan,Saidu Sharif,PAK
228,Australia,Brisbane,AUS
229,Pakistan,Rawalpindi,PAK
230,United States,Sacramento,USA
231,Lebanon,Beirut,LBN
232,United States,San Jose,USA
233,Belarus,Minsk,BLR
234,Japan,Kyoto,JPN
235,Colombia,Barranquilla,COL
236,United States,Orlando,USA
237,China,Shuyangzha,CHN
238,Venezuela,Valencia,VEN
239,Germany,Hamburg,DEU
240,India,Vadodara,IND
241,Brazil,Manaus,BRA
242,China,Shangqiu,CHN
243,China,Wuxi,CHN
244,Indonesia,Palembang,IDN
245,Belgium,Brussels,BEL
246,Germany,Essen,DEU
247,United States,Cleveland,USA
248,India,Bhopal,IND
249,China,Hohhot,CHN
250,United States,Pittsburgh,USA
251,China,Luoyang,CHN
252,Brazil,Santos,BRA
253,China,Jingling,CHN
254,Poland,Warsaw,POL
255,Morocco,Rabat,MAR
256,Brazil,Vitoria,BRA
257,Ecuador,Quito,ECU
258,Madagascar,Antananarivo,MDG
259,India,Coimbatore,IND
260,China,Daqing,CHN
261,China,Lu'an,CHN
262,China,Sanzhou,CHN
263,Hungary,Budapest,HUN
264,Italy,Turin,ITA
265,China,Suzhou,CHN
266,India,Ludhiana,IND
267,United States,Cincinnati,USA
268,Ghana,Kumasi,GHA
269,United States,Manhattan,USA
270,China,Qiqihar,CHN
271,China,Anshan,CHN
272,United States,Austin,USA
273,Taiwan,Zhongli,TWN
274,China,Handan,CHN
275,China,Tai'an,CHN
276,Iran,Esfahan,IRN
277,United States,Kansas City,USA
278,Cameroon,Yaounde,CMR
279,China,Shantou,CHN
280,India,Agra,IND
281,China,Zhanjiang,CHN
282,Bolivia,La Paz,BOL
283,India,Kalyan,IND
284,Nigeria,Abuja,NGA
285,Zimbabwe,Harare,ZWE
286,United States,Indianapolis,USA
287,China,Xiantao,CHN
288,Bangladesh,Khulna,BGD
289,China,Weifang,CHN
290,Mexico,Tijuana,MEX
291,Dominican Republic,Santiago,DOM
292,China,Xinyang,CHN
293,China,Luzhou,CHN
294,Australia,Perth,AUS
295,Mexico,Toluca,MEX
296,India,Vishakhapatnam,IND
297,United Kingdom,Leeds,GBR
298,Japan,Kobe,JPN
299,United States,Columbus,USA
300,Pakistan,Multan,PAK
301,India,Kochi,IND
302,Uruguay,Montevideo,URY
303,Pakistan,Gujranwala,PAK
304,Brazil,Niteroi,BRA
305,China,Ganzhou,CHN
306,Italy,Florence,ITA
307,China,Liuzhou,CHN
308,Mali,Bamako,MLI
309,Guinea,Conakry,GIN
310,Turkey,Bursa,TUR
311,Mexico,Leon de los Aldama,MEX
312,United States,Virginia Beach,USA
313,India,Nasik,IND
314,China,Fushun,CHN
315,China,Changde,CHN
316,"Korea, South",Daejeon,KOR
317,United States,Charlotte,USA
318,Cambodia,Phnom Penh,KHM
319,China,Neijiang,CHN
320,China,Quanzhou,CHN
321,Ukraine,Kharkiv,UKR
322,Pakistan,Hyderabad City,PAK
323,United States,Bronx,USA
324,Togo,Lome,TGO
325,Argentina,Cordoba,ARG
326,China,Huainan,CHN
327,Qatar,Doha,QAT
328,Malaysia,Kuala Lumpur,MYS
329,Mozambique,Maputo,MOZ
330,Nigeria,Kaduna,NGA
331,"Korea, South",Gwangju,KOR
332,Japan,Kawanakajima,JPN
333,El Salvador,San Salvador,SLV
334,China,Suining,CHN
335,France,Lyon,FRA
336,Iran,Karaj,IRN
337,Uganda,Kampala,UGA
338,Iran,Tabriz,IRN
339,Netherlands,The Hague,NLD
340,Philippines,Davao,PHL
341,France,Marseille,FRA
342,India,Meerut,IND
343,China,Mianyang,CHN
344,Indonesia,Semarang,IDN
345,India,Faridabad,IND
346,Russia,Novosibirsk,RUS
347,Saudi Arabia,Mecca,SAU
348,United Arab Emirates,Dubai,ARE
349,United States,Milwaukee,USA
350,New Zealand,Auckland,NZL
351,China,Ma'anshan,CHN
352,Congo (Brazzaville),Brazzaville,COG
353,China,Yiyang,CHN
354,India,Varanasi,IND
355,Congo (Kinshasa),Lubumbashi,COD
356,Mexico,Juarez,MEX
357,India,Ghaziabad,IND
358,South Africa,Pretoria,ZAF
359,China,Heze,CHN
360,Portugal,Porto,PRT
361,India,Asansol,IND
362,Zambia,Lusaka,ZMB
363,China,Changzhou,CHN
364,Iraq,Mosul,IRQ
365,Russia,Yekaterinburg,RUS
366,Pakistan,Peshawar,PAK
367,Burma,Mandalay,MMR
368,India,Jamshedpur,IND
369,Congo (Kinshasa),Mbuji-Mayi,COD
370,India,Madura,IND
371,Turkey,Adana,TUR
372,United Kingdom,Sheffield,GBR
373,India,Jabalpur,IND
374,Costa Rica,San Jose,CRI
375,Panama,Panama City,PAN
376,Russia,Nizhniy Novgorod,RUS
377,China,Chifeng,CHN
378,Germany,Duisburg,DEU
379,Germany,Munich,DEU
380,China,Huaiyin,CHN
381,Sweden,Stockholm,SWE
382,Indonesia,Makassar,IDN
383,India,Rajkot,IND
384,India,Dhanbad,IND
385,China,Mudanjiang,CHN
386,Switzerland,Geneva,CHE
387,Iran,Shiraz,IRN
388,China,Huzhou,CHN
389,China,Beidao,CHN
390,China,Shuangshui,CHN
391,Germany,Dusseldorf,DEU
392,China,Gaozhou,CHN
393,Spain,Sevilla,ESP
394,India,Amritsar,IND
395,Brazil,Vila Velha,BRA
396,Brazil,Vila Velha,BRA
397,Kazakhstan,Almaty,KAZ
398,United States,Providence,USA
399,India,Warangal,IND
400,Argentina,Rosario,ARG
401,India,Allahabad,IND
402,Nigeria,Benin City,NGA
403,China,Jining,CHN
404,Brazil,Maceio,BRA
405,Bulgaria,Sofia,BGR
406,Pakistan,Abbottabad,PAK
407,Libya,Benghazi,LBY
408,Indonesia,Cilacap,IDN
409,Czechia,Prague,CZE
410,United Kingdom,Glasgow,GBR
411,China,Leshan,CHN
412,United States,Jacksonville,USA
413,Burkina Faso,Ouagadougou,BFA
414,Canada,Ottawa,CAN
415,Australia,Adelaide,AUS
416,China,Shangrao,CHN
417,Mexico,Torreon,MEX
418,India,Srinagar,IND
419,India,Bezwada,IND
420,Russia,Samara,RUS
421,Russia,Omsk,RUS
422,Australia,Newcastle,AUS
423,China,Yulin,CHN
424,"Korea, North",Namp'o,PRK
425,China,Xianyang,CHN
426,Philippines,Cagayan de Oro,PHL
427,Vietnam,Can Tho,VNM
428,Venezuela,Barquisimeto,VEN
429,Finland,Helsinki,FIN
430,Russia,Kazan',RUS
431,India,Aurangabad,IND
432,Canada,Calgary,CAN
433,Mexico,Ciudad Nezahualcoyotl,MEX
434,Switzerland,Zurich,CHE
435,China,Baoding,CHN
436,China,Zigong,CHN
437,United Arab Emirates,Sharjah,ARE
438,Armenia,Yerevan,ARM
439,Somalia,Mogadishu,SOM
440,Georgia,Tbilisi,GEO
441,China,Ankang,CHN
442,Angola,Huambo,AGO
443,Nigeria,Ikare,NGA
444,Serbia,Belgrade,SRB
445,United States,Salt Lake City,USA
446,India,Bhilai,IND
447,China,Jinhua,CHN
448,Russia,Chelyabinsk,RUS
449,Brazil,Natal,BRA
450,Tajikistan,Dushanbe,TJK
451,Denmark,Copenhagen,DNK
452,"Korea, South",Changwon,KOR
453,China,Zhuzhou,CHN
454,"Korea, South",Suwon,KOR
455,United States,Nashville,USA
456,South Africa,Vereeniging,ZAF
457,China,Xiangyang,CHN
458,United States,Memphis,USA
459,"Korea, South",Ulsan,KOR
460,Jordan,Amman,JOR
461,China,Mizhou,CHN
462,United States,Richmond,USA
463,Ireland,Dublin,IRL
464,Canada,Edmonton,CAN
465,India,Solapur,IND
466,Russia,Rostov-na-Donu,RUS
467,Ukraine,Dnipro,UKR
468,China,Xining,CHN
469,China,Zhangjiakou,CHN
470,France,Lille,FRA
471,India,Ranchi,IND
472,Turkey,Gaziantep,TUR
473,Liberia,Monrovia,LBR
474,Brazil,Sao Luis,BRA
475,Netherlands,Amsterdam,NLD
476,Israel,Jerusalem,ISR
477,United States,New Orleans,USA
478,Guatemala,Guatemala City,GTM
479,China,Zhuhai,CHN
480,Brazil,Florianopolis,BRA
481,South Africa,Port Elizabeth,ZAF
482,China,Jiamusi,CHN
483,Nigeria,Port Harcourt,NGA
484,United States,Raleigh,USA
485,Russia,Ufa,RUS
486,China,Hengyang,CHN
487,China,Benxi,CHN
488,United States,Louisville,USA
489,Israel,Haifa,ISR
490,Saudi Arabia,Medina,SAU
491,Colombia,Bucaramanga,COL
492,Venezuela,Maracay,VEN
493,Netherlands,Rotterdam,NLD
494,Syria,Homs,SYR
495,Germany,Cologne,DEU
496,China,Qinhuangdao,CHN
497,Morocco,Fes,MAR
498,Chad,N'Djamena,TCD
499,Honduras,Tegucigalpa,HND
500,Jamaica,Kingston,JAM
501,Burma,Nay Pyi Taw,MMR
502,Djibouti,Djibouti,DJI
503,Nicaragua,Managua,NIC
504,Niger,Niamey,NER
505,Albania,Tirana,ALB
506,Nepal,Kathmandu,NPL
507,Mongolia,Ulaanbaatar,MNG
508,Rwanda,Kigali,RWA
509,Kyrgyzstan,Bishkek,KGZ
510,Norway,Oslo,NOR
511,Central African Republic,Bangui,CAF
512,Sierra Leone,Freetown,SLE
513,Pakistan,Islamabad,PAK
514,Benin,Cotonou,BEN
515,Laos,Vientiane,LAO
516,Latvia,Riga,LVA
517,Mauritania,Nouakchott,MRT
518,Oman,Muscat,OMN
519,Turkmenistan,Ashgabat,TKM
520,Croatia,Zagreb,HRV
521,Bosnia And Herzegovina,Sarajevo,BIH
522,Moldova,Chisinau,MDA
523,Malawi,Lilongwe,MWI
524,Eritrea,Asmara,ERI
525,United Arab Emirates,Abu Dhabi,ARE
526,Mauritius,Port Louis,MUS
527,Gabon,Libreville,GAB
528,Bahrain,Manama,BHR
529,Lithuania,Vilnius,LTU
530,Macedonia,Skopje,MKD
531,South Africa,Bloemfontein,ZAF
532,Slovakia,Bratislava,SVK
533,Guinea-Bissau,Bissau,GNB
534,Estonia,Tallinn,EST
535,New Zealand,Wellington,NZL
536,Malta,Valletta,MLT
537,Lesotho,Maseru,LSO
538,Kazakhstan,Nur-Sultan,KAZ
539,Burundi,Bujumbura,BDI
540,Australia,Canberra,AUS
541,India,New Delhi,IND
542,Slovenia,Ljubljana,SVN
543,Benin,Porto-Novo,BEN
544,Brunei,Bandar Seri Begawan,BRN
545,Trinidad And Tobago,Port of Spain,TTO
546,Papua New Guinea,Port Moresby,PNG
547,Switzerland,Bern,CHE
548,Namibia,Windhoek,NAM
549,Guyana,Georgetown,GUY
550,Suriname,Paramaribo,SUR
551,Timor-Leste,Dili,TLS
552,"Bahamas, The",Nassau,BHS
553,Bolivia,Sucre,BOL
554,Cyprus,Nicosia,CYP
555,Tanzania,Dodoma,TZA
556,Sri Lanka,Colombo,LKA
557,Botswana,Gaborone,BWA
558,Côte D’Ivoire,Yamoussoukro,CIV
559,Barbados,Bridgetown,BRB
560,Fiji,Suva,FJI
561,Iceland,Reykjavik,ISL
562,Equatorial Guinea,Malabo,GNQ
563,Curaçao,Willemstad,CUW
564,Montenegro,Podgorica,MNE
565,Comoros,Moroni,COM
566,Sri Lanka,Sri Jayewardenepura Kotte,LKA
567,Cabo Verde,Praia,CPV
568,Maldives,Male,MDV
569,South Sudan,Juba,SSD
570,Luxembourg,Luxembourg,LUX
571,Bhutan,Thimphu,BTN
572,Swaziland,Mbabane,SWZ
573,Sao Tome And Principe,Sao Tome,STP
574,Solomon Islands,Honiara,SLB
575,Aruba,Oranjestad,ABW
576,Samoa,Apia,WSM
577,Andorra,Andorra la Vella,AND
578,Saint Vincent And The Grenadines,Kingstown,VCT
579,Vanuatu,Port-Vila,VUT
580,"Gambia, The",Banjul,GMB
581,Tonga,Nuku`alofa,TON
582,Saint Lucia,Castries,LCA
583,Monaco,Monaco,MCO
584,Liechtenstein,Vaduz,LIE
585,Antigua And Barbuda,Saint John's,ATG
586,Grenada,Saint George's,GRD
587,Seychelles,Victoria,SYC
588,San Marino,San Marino,SMR
589,Kiribati,Tarawa,KIR
590,Marshall Islands,Majuro,MHL
591,Dominica,Roseau,DMA
592,Saint Kitts And Nevis,Basseterre,KNA
593,Belize,Belmopan,BLZ
594,American Samoa,Pago Pago,ASM
595,Swaziland,Lobamba,SWZ
596,Tuvalu,Funafuti,TUV
597,"Micronesia, Federated States Of",Palikir,FSM
598,Northern Mariana Islands,Capitol Hill,MNP
599,Guam,Hagta,GUM
600,West Bank,Al Quds,XWB
601,Sint Maarten,Philipsburg,SXM
602,Burundi,Gitega,BDI
603,Kosovo,Pristina,XKS
604,Palau,Ngerulmud,PLW
605,Yemen,Aden,YEM
606,Bolivia,Cochabamba,BOL
607,China,Yongzhou,CHN
608,China,Baoshan,CHN
609,Vietnam,Quang Ha,VNM
610,Japan,Kitaku,JPN
611,Russia,Perm',RUS
612,Iran,Ahvaz,IRN
613,India,Jodhpur,IND
614,Mexico,San Luis Potosi,MEX
615,Ukraine,Odesa,UKR
616,China,Yinchuan,CHN
617,China,Jiaxing,CHN
618,Brazil,Joinvile,BRA
619,Ukraine,Donets'k,UKR
620,China,Guilin,CHN
621,Iraq,Dahuk,IRQ
622,Russia,Volgograd,RUS
623,India,Guwahati,IND
624,China,Yichun,CHN
625,China,Yangquan,CHN
626,Brazil,Natal,BRA
627,India,Chandigarh,IND
628,India,Gwalior,IND
629,Japan,Hamamatsu,JPN
630,Iran,Qom,IRN
631,China,Jixi,CHN
632,Mexico,Merida,MEX
633,China,Xin'an,CHN
634,Mexico,Queretaro,MEX
635,China,Pingxiang,CHN
636,Brazil,Joao Pessoa,BRA
637,Malaysia,Klang,MYS
638,China,Jinzhou,CHN
639,United States,Oklahoma City,USA
640,Italy,Salerno,ITA
641,India,Thiruvananthapuram,IND
642,India,Calicut,IND
643,India,Trichinopoly,IND
644,Nigeria,Ogbomoso,NGA
645,Philippines,General Santos,PHL
646,Vietnam,Hue,VNM
647,Philippines,Bacolod,PHL
648,China,Nantong,CHN
649,China,Foshan,CHN
650,"Korea, South",Songnam,KOR
651,United States,Bridgeport,USA
652,France,Nice,FRA
653,United States,Buffalo,USA
654,Iraq,Erbil,IRQ
655,Russia,Krasnoyarsk,RUS
656,Brazil,Olinda,BRA
657,Belgium,Antwerp,BEL
658,Turkey,Konya,TUR
659,Indonesia,Bogor,IDN
660,United States,Hartford,USA
661,China,Huaibei,CHN
662,China,Xinyu,CHN
663,Brazil,Teresina,BRA
664,Japan,Naha,JPN
665,"Korea, South",Goyang,KOR
666,China,Nangandao,CHN
667,China,Yibin,CHN
668,Nigeria,Aba,NGA
669,Nigeria,Maiduguri,NGA
670,Jordan,Az Zarqa',JOR
671,Turkey,Tarsus,TUR
672,China,Bengbu,CHN
673,Argentina,Mendoza,ARG
674,India,Hubli,IND
675,Chile,Concepcion,CHL
676,Nigeria,Zaria,NGA
677,China,Dengtalu,CHN
678,Colombia,Cartagena,COL
679,India,Mysore,IND
680,Mexico,Mexicali,MEX
681,China,Tongliao,CHN
682,Kenya,Mombasa,KEN
683,United Kingdom,Newcastle upon Tyne,GBR
684,Brazil,Novo Hamburgo,BRA
685,Peru,Callao,PER
686,Spain,Bilbao,ESP
687,Malaysia,Johor Bahru,MYS
688,India,Raipur,IND
689,China,Xiaoxita,CHN
690,United States,Fort Worth,USA
691,India,Salem,IND
692,China,Yangjiang,CHN
693,Morocco,Marrakech,MAR
694,China,Kaifeng Chengguanzhen,CHN
695,China,Dandong,CHN
696,Iraq,Al Basrah,IRQ
697,Mexico,Aguascalientes,MEX
698,United States,Tucson,USA
699,Japan,Okayama,JPN
700,"Korea, South",Bucheon,KOR
701,China,Xuanzhou,CHN
702,Indonesia,Bandar Lampung,IDN
703,China,Rizhao,CHN
704,Italy,Palermo,ITA
705,United Kingdom,Caerdydd,GBR
706,Mexico,Tampico,MEX
707,China,Jiaozuo,CHN
708,Indonesia,Padang,IDN
709,India,Jalandhar,IND
710,China,Zhenjiang,CHN
711,Chile,Valparaiso,CHL
712,China,Pingdingshan,CHN
713,China,Zunyi,CHN
714,China,Anshun,CHN
715,France,Toulouse,FRA
716,United States,El Paso,USA
717,Brazil,Iguacu,BRA
718,India,Bhubaneshwar,IND
719,Russia,Voronezh,RUS
720,Russia,Saratov,RUS
721,China,Yuci,CHN
722,China,Yancheng,CHN
723,Mexico,Cuernavaca,MEX
724,China,Linfen,CHN
725,United States,Honolulu,USA
726,Nigeria,Warri,NGA
727,Switzerland,Basel,CHE
728,Argentina,San Miguel de Tucuman,ARG
729,Iran,Kermanshah,IRN
730,Greece,Thessaloniki,GRC
731,United States,Omaha,USA
732,India,Kota,IND
733,Portugal,Braga,PRT
734,India,Jhansi,IND
735,China,Rongjiawan,CHN
736,United Kingdom,Nottingham,GBR
737,Morocco,Agadir,MAR
738,Malaysia,Butterworth,MYS
739,India,Bareilly,IND
740,Nigeria,Jos,NGA
741,China,Xingyi,CHN
742,Philippines,Cebu City,PHL
743,Peru,Arequipa,PER
744,United Kingdom,Liverpool,GBR
745,China,Wuhu,CHN
746,China,Langfang,CHN
747,Bangladesh,Rajshahi,BGD
748,China,Zhaotong,CHN
749,Mexico,Culiacan,MEX
750,Spain,Valencia,ESP
751,China,Lingyuan,CHN
752,Brazil,Cuiaba,BRA
753,Vietnam,Quy Nhon,VNM
754,Indonesia,Malang,IDN
755,India,Aligarh,IND
756,Ukraine,L'viv,UKR
757,France,Bordeaux,FRA
758,United States,McAllen,USA
759,China,Baojishi,CHN
760,Indonesia,Pekanbaru,IDN
761,Algeria,Oran,DZA
762,China,Yingkou,CHN
763,India,Bhiwandi,IND
764,China,Liaoyang,CHN
765,Mexico,Chihuahua,MEX
766,India,Jammu,IND
767,Malaysia,Melaka,MYS
768,Ukraine,Zaporizhzhya,UKR
769,India,Moradabad,IND
770,Turkey,Antalya,TUR
771,Yemen,Al Hudaydah,YEM
772,Brazil,Campo Grande,BRA
773,China,Shaoxing,CHN
774,China,Yichun,CHN
775,India,Mangalore,IND
776,Germany,Wuppertal,DEU
777,"Korea, South",Cheongju,KOR
778,Philippines,Zamboanga City,PHL
779,"Korea, North",Hamhung,PRK
780,China,Fuyang,CHN
781,Nigeria,Ilorin,NGA
782,Germany,Saarbrucken,DEU
783,China,Fuxin,CHN
784,China,Shiyan,CHN
785,Pakistan,Quetta,PAK
786,Peru,Trujillo,PER
787,Congo (Kinshasa),Kananga,COD
788,Turkey,Trabzon,TUR
789,China,Jincheng,CHN
790,United States,Albuquerque,USA
791,Poland,Lodz,POL
792,Poland,Krakow,POL
793,Mexico,Saltillo,MEX
794,Brazil,Sao Jose dos Campos,BRA
795,"Korea, North",Hungnam,PRK
796,Yemen,Ta`izz,YEM
797,South Africa,Pietermaritzburg,ZAF
798,Morocco,Tangier,MAR
799,Taiwan,Hsinchu,TWN
800,Taiwan,Changhua,TWN
801,India,Kolhapur,IND
802,Uzbekistan,Farg`ona,UZB
803,Uzbekistan,Namangan,UZB
804,Belgium,Liege,BEL
805,Venezuela,Ciudad Guayana,VEN
806,United States,Birmingham,USA
807,China,Hegang,CHN
808,Philippines,Naga City,PHL
809,Poland,Gdansk,POL
810,"Korea, South",Ansan,KOR
811,Germany,Nuremberg,DEU
812,Nigeria,Oyo,NGA
813,India,Amravati,IND
814,Indonesia,Denpasar,IDN
815,Nigeria,Sokoto,NGA
816,China,Beihai,CHN
817,Germany,Bremen,DEU
818,Iraq,As Sulaymaniyah,IRQ
819,Germany,Hannover,DEU
820,Colombia,Cucuta,COL
821,Canada,Hamilton,CAN
822,Tanzania,Moshi,TZA
823,China,Shaoguan,CHN
824,Japan,Kumamoto,JPN
825,United States,Dayton,USA
826,China,Xinpu,CHN
827,Mexico,Acapulco de Juarez,MEX
828,Afghanistan,Kandahar,AFG
829,India,Dehra Dun,IND
830,United States,Rochester,USA
831,"Korea, South",Jeonju,KOR
832,Uzbekistan,Samarkand,UZB
833,China,Qingyuan,CHN
834,United States,Sarasota,USA
835,China,Changzhi,CHN
836,Russia,Tol'yatti,RUS
837,Brazil,Jaboatao,BRA
838,Japan,Shizuoka,JPN
839,Zimbabwe,Bulawayo,ZWE
840,Colombia,Soledad,COL
841,United States,Fresno,USA
842,Morocco,Meknes,MAR
843,Argentina,La Plata,ARG
844,India,Malegaon,IND
845,Nigeria,Enugu,NGA
846,China,Huangshi,CHN
847,Brazil,Aracaju,BRA
848,United States,Allentown,USA
849,Germany,Bonn,DEU
850,Honduras,San Pedro Sula,HND
851,India,Nellore,IND
852,Italy,Catania,ITA
853,India,Gorakhpur,IND
854,Malaysia,Ipoh,MYS
855,"Korea, North",Ch'ongjin,PRK
856,United States,Tulsa,USA
857,Japan,Utsunomiya,JPN
858,China,Puyang Chengguanzhen,CHN
859,Iraq,An Najaf,IRQ
860,Brazil,Sao Jose dos Pinhais,BRA
